price,location,brand,type,year,mileage
212000000,Jagakarsa,Honda,BR-V,2021,35.000-40.000
163000000,Kemayoran,Suzuki,Baleno,2018,30.000-35.000
189000000,Pasar Minggu,Toyota,Sienta,2017,55.000-60.000
86000000,Ciracas,Suzuki,Karimun,2017,50.000-55.000
350000000,Cilandak,BMW,320i,2015,30.000-35.000
247000000,Kebayoran Lama,BMW,X1,2013,55.000-60.000
925000000,Cilandak,Toyota,Alphard,2020,40.000-45.000
92000000,Cilandak,Daihatsu,Ayla,2016,140.000-145.000
202000000,Pekayon,Mitsubishi,Xpander,2018,55.000-60.000
202000000,Pasar Minggu,Mitsubishi,Xpander,2018,55.000-60.000
202000000,Tambora,Mitsubishi,Xpander,2018,55.000-60.000
202000000,Kembangan,Mitsubishi,Xpander,2018,55.000-60.000
108500000,Kelapa Gading,Suzuki,Ertiga,2013,50.000-55.000
108500000,Jatinegara,Suzuki,Ertiga,2013,50.000-55.000
108500000,Tebet,Suzuki,Ertiga,2013,50.000-55.000
108500000,Kebayoran Baru,Suzuki,Ertiga,2013,50.000-55.000
108500000,Cilandak,Suzuki,Ertiga,2013,50.000-55.000
108500000,Kemayoran,Suzuki,Ertiga,2013,50.000-55.000
108500000,Tambora,Suzuki,Ertiga,2013,50.000-55.000
108500000,Kembangan,Suzuki,Ertiga,2013,50.000-55.000
139000000,Pasar Minggu,Suzuki,SX4,2016,40.000-45.000
158000000,Pantai Indah Kapuk,Suzuki,Ertiga,2020,25.000-30.000
181000000,Cipayung,Nissan,X-Trail,2015,115.000-120.000
359000000,Tanjung Barat,Honda,CR-V,2017,55.000-60.000
123000000,Kebayoran Baru,Daihatsu,Ayla,2018,10.000-15.000
295000000,Pasar Minggu,Toyota,Kijang Innova,2021,90.000-95.000
192000000,Cilandak,Toyota,Rush,2018,95.000-100.000
716000000,Setia Budi,Lexus,RX200t,2016,70.000-75.000
123000000,Kemang,Toyota,Calya,2019,75.000-80.000
123000000,Kramat Jati,Toyota,Calya,2019,75.000-80.000
123000000,Kebon Jeruk,Toyota,Calya,2019,75.000-80.000
123000000,Kembangan,Toyota,Calya,2019,75.000-80.000
164000000,Cibubur,Daihatsu,Xenia,2019,25.000-30.000
164000000,Kemang,Daihatsu,Xenia,2019,25.000-30.000
164000000,Pademangan,Daihatsu,Xenia,2019,25.000-30.000
164000000,Tebet,Daihatsu,Xenia,2019,25.000-30.000
164000000,Pesanggrahan,Daihatsu,Xenia,2019,25.000-30.000
164000000,Menteng,Daihatsu,Xenia,2019,25.000-30.000
164000000,Palmerah,Daihatsu,Xenia,2019,25.000-30.000
164000000,Kembangan,Daihatsu,Xenia,2019,25.000-30.000
76000000,Cengkareng,Suzuki,Splash,2014,70.000-75.000
215000000,Cibubur,Honda,HR-V,2018,35.000-40.000
159000000,Tanah Abang,Daihatsu,Sirion,2019,55.000-60.000
91000000,Cengkareng,Daihatsu,Ayla,2018,115.000-120.000
82500000,Ciracas,Toyota,Agya,2015,35.000-40.000
212000000,Pasar Minggu,Toyota,Yaris,2020,40.000-45.000
364000000,Kebayoran Baru,Toyota,Fortuner,2018,65.000-70.000
175000000,Tebet,Honda,BR-V,2017,80.000-85.000
80000000,Pantai Indah Kapuk,Daihatsu,Ayla,2016,95.000-100.000
80000000,Cakung,Daihatsu,Ayla,2016,95.000-100.000
80000000,Pasar Minggu,Daihatsu,Ayla,2016,95.000-100.000
80000000,Kebayoran Lama,Daihatsu,Ayla,2016,95.000-100.000
80000000,Jagakarsa,Daihatsu,Ayla,2016,95.000-100.000
80000000,Cempaka Putih,Daihatsu,Ayla,2016,95.000-100.000
80000000,Grogol Petamburan,Daihatsu,Ayla,2016,95.000-100.000
80000000,Kembangan,Daihatsu,Ayla,2016,95.000-100.000
252000000,Kelapa Gading,Mazda,2,2020,60.000-65.000
252000000,Pulo Gadung,Mazda,2,2020,60.000-65.000
252000000,Kramat Jati,Mazda,2,2020,60.000-65.000
252000000,Ciracas,Mazda,2,2020,60.000-65.000
137000000,Duren Sawit,Honda,Mobilio,2016,45.000-50.000
111000000,Jagakarsa,Daihatsu,Ayla,2019,40.000-45.000
194000000,Sawah Besar,Toyota,Rush,2019,75.000-80.000
215000000,Pasar Minggu,Suzuki,XL7,2021,20.000-25.000
120500000,Grogol Petamburan,Honda,Mobilio,2015,130.000-135.000
206000000,Cipayung,Toyota,Yaris,2018,40.000-45.000
133000000,Pasar Minggu,Honda,Brio,2017,95.000-100.000
