product_name,price,year_mileage,location
Honda BR-V,Rp 212.000.000,2021 - 35.000-40.000 km,Jagakarsa11 Des
Suzuki Baleno,Rp 163.000.000,2018 - 30.000-35.000 km,Kemayoran13 Sep
Toyota Sienta,Rp 189.000.000,2017 - 55.000-60.000 km,Pasar Minggu3 hari yang lalu
Suzuki Karimun,Rp 86.000.000,2017 - 50.000-55.000 km,CiracasKemarin
BMW 320i,Rp 350.000.000,2015 - 30.000-35.000 km,Cilandak4 hari yang lalu
BMW X1,Rp 247.000.000,2013 - 55.000-60.000 km,Kebayoran Lama16 Nov
Toyota Alphard,Rp 925.000.000,2020 - 40.000-45.000 km,Cilandak01 Des
Daihatsu Ayla,Rp 92.000.000,2016 - 140.000-145.000 km,Cilandak21 Nov
Mitsubishi Xpander,Rp 202.000.000,2018 - 55.000-60.000 km,PekayonHari ini
Mitsubishi Xpander,Rp 202.000.000,2018 - 55.000-60.000 km,Pasar MingguHari ini
Mitsubishi Xpander,Rp 202.000.000,2018 - 55.000-60.000 km,TamboraHari ini
Mitsubishi Xpander,Rp 202.000.000,2018 - 55.000-60.000 km,KembanganHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,Kelapa GadingHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,JatinegaraHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,TebetHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,Kebayoran BaruHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,CilandakHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,KemayoranHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,TamboraHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,KembanganHari ini
Suzuki SX4,Rp 139.000.000,2016 - 40.000-45.000 km,Pasar Minggu07 Des
Suzuki Ertiga,Rp 158.000.000,2020 - 25.000-30.000 km,Pantai Indah Kapuk20 Sep
Nissan X-Trail,Rp 181.000.000,2015 - 115.000-120.000 km,Cipayung5 hari yang lalu
Honda CR-V,Rp 359.000.000,2017 - 55.000-60.000 km,Tanjung BaratKemarin
Daihatsu Ayla,Rp 123.000.000,2018 - 10.000-15.000 km,Kebayoran Baru12 Des
Toyota Kijang Innova,Rp 295.000.000,2021 - 90.000-95.000 km,Pasar Minggu12 Des
Toyota Rush,Rp 192.000.000,2018 - 95.000-100.000 km,Cilandak29 Nov
Lexus RX200t,Rp 716.000.000,2016 - 70.000-75.000 km,Setia BudiHari ini
Toyota Calya,Rp 123.000.000,2019 - 75.000-80.000 km,KemangHari ini
Toyota Calya,Rp 123.000.000,2019 - 75.000-80.000 km,Kramat JatiHari ini
Toyota Calya,Rp 123.000.000,2019 - 75.000-80.000 km,Kebon JerukHari ini
Toyota Calya,Rp 123.000.000,2019 - 75.000-80.000 km,KembanganHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,CibuburHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,KemangHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,PademanganHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,TebetHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,PesanggrahanHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,MentengHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,PalmerahHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,KembanganHari ini
Suzuki Splash,Rp 76.000.000,2014 - 70.000-75.000 km,Cengkareng09 Nov
Honda HR-V,Rp 215.000.000,2018 - 35.000-40.000 km,Cibubur5 hari yang lalu
Daihatsu Sirion,Rp 159.000.000,2019 - 55.000-60.000 km,Tanah Abang19 Nov
Daihatsu Ayla,Rp 91.000.000,2018 - 115.000-120.000 km,Cengkareng07 Des
Toyota Agya,Rp 82.500.000,2015 - 35.000-40.000 km,Ciracas28 Nov
Toyota Yaris,Rp 212.000.000,2020 - 40.000-45.000 km,Pasar Minggu11 Des
Toyota Fortuner,Rp 364.000.000,2018 - 65.000-70.000 km,Kebayoran Baru13 Nov
Honda BR-V,Rp 175.000.000,2017 - 80.000-85.000 km,Tebet03 Nov
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,Pantai Indah KapukHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,CakungHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,Pasar MingguHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,Kebayoran LamaHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,JagakarsaHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,Cempaka PutihHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,Grogol PetamburanHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,KembanganHari ini
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,Kelapa GadingHari ini
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,Pulo GadungHari ini
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,Kramat JatiHari ini
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,CiracasHari ini
Honda Mobilio,Rp 137.000.000,2016 - 45.000-50.000 km,Duren Sawit27 Nov
Daihatsu Ayla,Rp 111.000.000,2019 - 40.000-45.000 km,Jagakarsa3 hari yang lalu
