product_name,price,year_mileage,location
Toyota Sienta,Rp 169.000.000,2017 - 60.000-65.000 km,Cilandak2 hari yang lalu
Nissan Grand livina,Rp 67.000.000,2011 - 120.000-125.000 km,Duren Sawit3 hari yang lalu
Honda CR-V,Rp 350.000.000,2017 - 95.000-100.000 km,CilincingHari ini
Honda Brio Satya,Rp 108.500.000,2016 - 80.000-85.000 km,Palmerah3 hari yang lalu
Honda Brio Satya,Rp 129.000.000,2018 - 85.000-90.000 km,Duren Sawit08 Des
Honda HR-V,Rp 211.000.000,2017 - 65.000-70.000 km,Cempaka PutihKemarin
Honda HR-V,Rp 229.000.000,2018 - 70.000-75.000 km,Penjaringan4 hari yang lalu
Mazda 2,Rp 249.000.000,2020 - 60.000-65.000 km,Cengkareng6 hari yang lalu
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,JatinegaraHari ini
Suzuki Ertiga,Rp 108.500.000,2013 - 50.000-55.000 km,KembanganHari ini
Toyota Calya,Rp 123.000.000,2019 - 75.000-80.000 km,Kramat JatiHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,KemangHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,TebetHari ini
Daihatsu Xenia,Rp 164.000.000,2019 - 25.000-30.000 km,PalmerahHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,CakungHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,Kebayoran LamaHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 95.000-100.000 km,Grogol PetamburanHari ini
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,Kramat JatiHari ini
Honda HR-V,Rp 210.000.000,2018 - 70.000-75.000 km,Duren SawitHari ini
Lexus RX300,Rp 900.000.000,2018 - 45.000-50.000 km,CilandakHari ini
Honda HR-V,Rp 200.000.000,2017 - 125.000-130.000 km,Cempaka Putih27 Nov
Suzuki Ertiga,Rp 126.000.000,2015 - 75.000-80.000 km,Tanah Abang04 Nov
Daihatsu Xenia,Rp 137.000.000,2018 - 75.000-80.000 km,Kramat Jati08 Des
Toyota Yaris,Rp 163.000.000,2016 - 75.000-80.000 km,Cibubur21 Nov
Honda Brio Satya,Rp 151.000.000,2019 - 40.000-45.000 km,Grogol Petamburan08 Des
Toyota Sienta,Rp 159.000.000,2018 - 30.000-35.000 km,Pasar Minggu02 Nov
Honda CR-V,Rp 372.000.000,2018 - 45.000-50.000 km,Kemayoran27 Nov
Wuling Air EV,Rp 185.000.000,2022 - 0-5.000 km,Grogol Petamburan06 Des
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,CibuburHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,Kemang3 hari yang lalu
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,Kramat JatiHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,Duren SawitHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,CakungHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,Kebayoran Lama3 hari yang lalu
