Property_ID,Property_Type,Property_Size,Bedrooms,Bathrooms,Location,Furnishing,Age_of_Property,Amenities,Proximity_to_Important_Locations,Date_of_Listing,Historical_Prices,Price,Floor_Level,Property_Status
1,House,149,1,2,Jakarta Selatan,Unfurnished,28,Pool_Gym_Security,7.88,2022-01-09,"[1740398322, 1837087118, 1895100396]",2320531096.5957756,1,New
2,Condo,151,1,2,Bogor,Unfurnished,13,None,13.83,2022-10-08,"[1628570051, 1719046165, 1773331833]",1809522278.760622,20,New
3,Apartment,221,3,3,Jakarta Pusat,Unfurnished,3,Pool_Gym_Security,12.91,2022-09-10,"[2233008077, 2357064081, 2431497683]",3101400106.4775457,12,New
4,Condo,124,2,3,Jakarta Pusat,Semi,8,Security,7.9,2021-08-23,"[1350749898, 1425791559, 1470816556]",1876041525.6372705,8,New
5,Apartment,92,3,2,Jakarta Pusat,Semi,26,Pool_Gym_Security,17.72,2021-10-26,"[887255981, 936547980, 966123179]",1232299973.3287714,18,New
6,Apartment,212,4,2,Depok,Unfurnished,9,None,11.09,2021-11-23,"[2318705068, 2447522017, 2524812185]",2576338964.7790127,11,New
7,Apartment,95,3,2,Jakarta Utara,Unfurnished,11,None,2.15,2022-06-17,"[1008805192, 1064849925, 1098476765]",1232984123.6255329,1,Under Construction
8,House,218,2,2,Jakarta Timur,Unfurnished,8,Security,9.0,2021-06-13,"[2411420082, 2545387864, 2625768534]",2813323429.0445976,5,New
9,Apartment,89,2,1,Tangerang,Fully,24,Pool,14.25,2022-01-08,"[831385536, 877573621, 905286472]",923761706.6263055,1,New
10,House,159,2,1,Depok,Semi,1,Gym_Security,0.82,2022-01-22,"[1491584100, 1574449883, 1624169353]",1657315666.2550564,3,Under Construction
11,Condo,111,4,3,Jakarta Timur,Fully,8,None,18.58,2022-02-11,"[1364074629, 1439856553, 1485325707]",1591420400.3664782,15,New
12,Apartment,43,3,1,Bekasi,Semi,1,Gym,1.43,2021-08-06,"[464557895, 490366667, 505851930]",516175438.951375,12,New
13,House,115,4,1,Jakarta Selatan,Fully,20,None,9.38,2021-05-09,"[1116467752, 1178493738, 1215709330]",1488623668.8324327,3,Under Construction
14,House,209,4,1,Jakarta Pusat,Fully,19,Gym_Security,14.32,2021-09-16,"[2416126872, 2550356143, 2630893705]",3355731766.6543865,4,New
15,Apartment,226,2,2,Jakarta Pusat,Unfurnished,19,Pool_Security,12.5,2022-06-28,"[2943865362, 3107413438, 3205542283]",4088701891.4870315,18,New
16,Apartment,157,3,2,Depok,Fully,16,Pool_Gym_Security,17.42,2022-05-31,"[1789140000, 1888536666, 1948174666]",1987933332.8169663,18,New
17,Condo,217,2,2,Jakarta Barat,Unfurnished,18,Gym,5.5,2022-05-04,"[2457916386, 2594467297, 2676397843]",3140670938.0574923,3,New
18,House,125,1,1,Jakarta Pusat,Fully,2,Pool,9.19,2022-10-26,"[1392051464, 1469387656, 1515789372]",1933404810.749331,2,New
19,Apartment,89,4,3,Jakarta Pusat,Semi,4,Security,16.38,2021-08-10,"[1045823852, 1103925177, 1138785972]",1452533127.1606424,9,New
20,Apartment,74,2,3,Bogor,Fully,9,Security,5.65,2022-11-10,"[713800836, 753456438, 777249800]",793112040.3062669,15,New
21,House,200,2,3,Tangerang,Unfurnished,10,Pool_Gym_Security,8.08,2021-03-24,"[2402077940, 2535526714, 2615595979]",2668975488.4879885,4,New
22,Apartment,140,3,3,Jakarta Timur,Semi,3,Pool_Gym_Security,17.56,2021-07-30,"[1405298417, 1483370551, 1530213832]",1639514819.6663494,16,New
23,Apartment,164,1,2,Bogor,Unfurnished,3,Gym_Security,15.66,2021-01-17,"[1517604656, 1601916026, 1652502848]",1686227396.0745316,17,New
24,House,172,2,2,Jakarta Barat,Semi,7,Security,7.32,2021-04-30,"[1606147782, 1695378214, 1748916473]",2052299943.1739,2,New
25,Apartment,48,2,3,Bekasi,Semi,9,Security,18.51,2022-02-20,"[606392716, 640081200, 660294290]",673769684.1405993,12,Pre-sale
26,Apartment,30,4,2,Jakarta Utara,Semi,7,Pool_Gym,17.18,2021-10-01,"[292728515, 308991210, 318748827]",357779295.95421636,1,Under Construction
27,Apartment,96,3,2,Jakarta Pusat,Fully,18,Gym,13.66,2021-04-29,"[957204153, 1010382162, 1042288967]",1329450212.8842008,18,New
28,Apartment,182,2,1,Bogor,Semi,2,None,16.0,2022-08-19,"[1667815914, 1760472353, 1816066217]",1853128793.0732143,11,New
29,Apartment,111,3,3,Jakarta Barat,Semi,26,Security,3.27,2022-02-11,"[1421167070, 1500120796, 1547493032]",1815935700.8395066,9,New
